Requirement ID,Section,Category,Entity,Product,State,Business Requirement,Data Element,Validation Rule,Eligibility Rule,Underwriting Rule,Coverage Association,Forms Association,Transaction Applicability,State Variance,Source Requirement,Traceability Reference,Status,Effective Date,Owner
POL-EFF-002,Policy Requirements,Business Rule,Policy,Personal Auto,All,Every transaction shall contain a transaction effective date,TransactionEffectiveDate,Required Field Validation,Transaction Completeness,Transaction Processing Readiness,,All Forms,"All Transactions",No,Section 6.5.3,Policy Effective Dating Requirements,APPROVED,2026-08-19,Product Owner
POL-EFF-003,Policy Requirements,Business Rule,Policy,Personal Auto,All,Changes shall be effective based on transaction processing rules,TransactionEffectiveDate,Effective Date Compliance Validation,Transaction Rule Evaluation,Transaction Processing Logic,,All Forms,"All Transactions",No,Section 6.5.3,Policy Effective Dating Requirements,APPROVED,2026-08-19,Product Owner
INS-VAL-001,Insured Requirements,Validation,Insured,Personal Auto,All,Named Insured is required,NamedInsured,Required Field Validation,Insured Completeness,Policy Participant Validation,,Policy Jacket,"Quote, New Business, Renewal",No,Section 7.8.2,Insured Validation Requirements,APPROVED,2026-08-19,Product Owner
INS-VAL-002,Insured Requirements,Validation,Insured,Personal Auto,All,Last Name is required,LastName,Required Field Validation,Insured Completeness,Insured Identity Validation,,Policy Jacket,"Quote, New Business, Renewal",No,Section 7.8.2,Insured Validation Requirements,APPROVED,2026-08-19,Product Owner
INS-VAL-003,Insured Requirements,Validation,Insured,Personal Auto,All,Residence Address is required,ResidenceAddress,Required Field Validation,Address Completeness,Underwriting Processing,,"Policy Jacket, State Notices","Quote, New Business, Renewal",No,Section 7.8.2,Insured Validation Requirements,APPROVED,2026-08-19,Product Owner
INS-VAL-004,Insured Requirements,Validation,Insured,Personal Auto,All,State of Residence is required,StateOfResidence,Required Field Validation; State Validation,Residency Validation,State Eligibility Evaluation,,"Policy Jacket, State Notices","Quote, New Business, Renewal",Varies by State,Section 7.8.2,Insured Validation Requirements,APPROVED,2026-08-19,Product Owner
INS-VAL-005,Insured Requirements,Validation,Insured,Personal Auto,All,Date of Birth is required,DateOfBirth,Required Field Validation,Insured Completeness,Age-Based Underwriting,,"Policy Jacket, Regulatory Notices","Quote, New Business, Renewal",No,Section 7.8.2,Insured Validation Requirements,APPROVED,2026-08-19,Product Owner
INS-VAL-006,Insured Requirements,Validation,Insured,Personal Auto,All,Residence Address must contain a valid state,StateOfResidence,State Lookup Validation,Address Validation,State Compliance Validation,,"Policy Jacket, State Notices","Quote, New Business, Renewal",Varies by State,Section 7.8.3,Address Validation Requirements,APPROVED,2026-08-19,Product Owner
INS-VAL-007,Insured Requirements,Validation,Insured,Personal Auto,All,Postal Code must be provided when required,PostalCode,Conditional Field Validation,Address Completeness,Address Validation,,"Policy Jacket, State Notices","Quote, New Business, Renewal",Varies by State,Section 7.8.3,Address Validation Requirements,APPROVED,2026-08-19,Product Owner
INS-VAL-008,Insured Requirements,Validation,Insured,Personal Auto,All,Email format must be valid when provided,EmailAddress,Email Format Validation,Contact Information Validation,Data Quality Validation,,Policy Jacket,"Quote, New Business, Renewal",No,Section 7.8.4,Contact Validation Requirements,APPROVED,2026-08-19,Product Owner
INS-VAL-009,Insured Requirements,Validation,Insured,Personal Auto,All,Phone number format must satisfy defined validation requirements,PhoneNumber,Phone Number Format Validation,Contact Information Validation,Data Quality Validation,,Policy Jacket,"Quote, New Business, Renewal",No,Section 7.8.4,Contact Validation Requirements,APPROVED,2026-08-19,Product Owner
DRV-VAL-001,Driver Requirements,Validation,Driver,Personal Auto,All,Driver First Name is required,FirstName,Required Field Validation,Driver Completeness,Driver Identity Validation,,Policy Jacket; Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 8.8.2,Driver Validation Requirements,APPROVED,2026-08-19,Product Owner
DRV-VAL-002,Driver Requirements,Validation,Driver,Personal Auto,All,Driver Last Name is required,LastName,Required Field Validation,Driver Completeness,Driver Identity Validation,,Policy Jacket; Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 8.8.2,Driver Validation Requirements,APPROVED,2026-08-19,Product Owner
DRV-VAL-003,Driver Requirements,Validation,Driver,Personal Auto,All,Driver Date of Birth is required,DateOfBirth,Required Field Validation,Driver Completeness,Age-Based Underwriting,,"Policy Jacket, Regulatory Notices","Quote, New Business, Endorsement, Renewal",No,Section 8.8.2,Driver Validation Requirements,APPROVED,2026-08-19,Product Owner
DRV-VAL-004,Driver Requirements,Validation,Driver,Personal Auto,All,License Status is required,LicenseStatus,Required Field Validation; Lookup Validation,Driver License Validation,License Eligibility Evaluation,,Policy Jacket; Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 8.8.2,Driver Validation Requirements,APPROVED,2026-08-19,Product Owner
DRV-VAL-005,Driver Requirements,Validation,Driver,Personal Auto,All,Relationship to Named Insured is required when applicable,RelationshipToNamedInsured,Conditional Field Validation,Driver Association Validation,Household Relationship Validation,,Policy Jacket,"Quote, New Business, Endorsement, Renewal",No,Section 8.8.2,Driver Validation Requirements,APPROVED,2026-08-19,Product Owner
DRV-VAL-006,Driver Requirements,Validation,Driver,Personal Auto,All,License Number is required,LicenseNumber,Required Field Validation; Format Validation,Driver License Completeness,License Identification Validation,,Policy Jacket; Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 8.8.3,License Validation Requirements,APPROVED,2026-08-19,Product Owner
DRV-VAL-007,Driver Requirements,Validation,Driver,Personal Auto,All,License State is required,LicenseState,Required Field Validation; Lookup Validation,License State Validation,State-Based Eligibility Evaluation,,Policy Jacket; Coverage Forms,"Quote, New Business, Endorsement, Renewal",Varies by State,Section 8.8.3,License Validation Requirements,APPROVED,2026-08-19,Product Owner
DRV-VAL-008,Driver Requirements,Validation,Driver,Personal Auto,All,License Status is required,LicenseStatus,Required Field Validation; Lookup Validation,License Validity Validation,License Status Underwriting Evaluation,,Policy Jacket; Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 8.8.3,License Validation Requirements,APPROVED,2026-08-19,Product Owner
VEH-VAL-001,Vehicle Requirements,Validation,Vehicle,Personal Auto,All,Vehicle Year is required,VehicleYear,Required Field Validation; Numeric Validation,Vehicle Identification,Vehicle Age Eligibility Evaluation,,Policy Jacket; Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 9.7.2,Vehicle Validation Requirements,APPROVED,2026-08-19,Product Owner
VEH-VAL-002,Vehicle Requirements,Validation,Vehicle,Personal Auto,All,Vehicle Make is required,Make,Required Field Validation; Lookup Validation,Vehicle Identification,Vehicle Type Eligibility Evaluation,,Policy Jacket; Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 9.7.2,Vehicle Validation Requirements,APPROVED,2026-08-19,Product Owner
VEH-VAL-003,Vehicle Requirements,Validation,Vehicle,Personal Auto,All,Vehicle Model is required,Model,Required Field Validation; Lookup Validation,Vehicle Identification,Vehicle Type Eligibility Evaluation,,Policy Jacket; Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 9.7.2,Vehicle Validation Requirements,APPROVED,2026-08-19,Product Owner
VEH-VAL-004,Vehicle Requirements,Validation,Vehicle,Personal Auto,All,Vehicle Type is required,VehicleType,Required Field Validation; Lookup Validation,Vehicle Classification,Vehicle Type Eligibility Evaluation,,Policy Jacket; Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 9.7.2,Vehicle Validation Requirements,APPROVED,2026-08-19,Product Owner
VEH-VAL-005,Vehicle Requirements,Validation,Vehicle,Personal Auto,All,VIN is required,VIN,Required Field Validation; Format Validation,VIN Completeness,Vehicle Identification Validation,,Policy Jacket; Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 9.7.3,VIN Validation Requirements,APPROVED,2026-08-19,Product Owner
VEH-VAL-006,Vehicle Requirements,Validation,Vehicle,Personal Auto,All,VIN must satisfy VIN format requirements,VIN,VIN Format Validation,VIN Completeness,Vehicle Identification Validation,,Policy Jacket; Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 9.7.3,VIN Validation Requirements,APPROVED,2026-08-19,Product Owner
VEH-VAL-007,Vehicle Requirements,Validation,Vehicle,Personal Auto,All,VIN validation must be performed when required by product rules,VIN,VIN Decode Service Validation,VIN Completeness,Vehicle Verification Processing,,"Policy Jacket, Coverage Forms","Quote, New Business, Endorsement, Renewal",No,Section 9.7.3,VIN Validation Requirements,APPROVED,2026-08-19,Product Owner
VEH-VAL-008,Vehicle Requirements,Validation,Vehicle,Personal Auto,All,Ownership Type is required,OwnershipType,Required Field Validation; Lookup Validation,Ownership Validation,Ownership Eligibility Evaluation,,Policy Jacket; Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 9.7.4,Ownership Validation Requirements,APPROVED,2026-08-19,Product Owner
VEH-VAL-009,Vehicle Requirements,Validation,Vehicle,Personal Auto,All,Garaging Address is required,GaragingAddress,Required Field Validation,Garaging Completeness,Vehicle Location Validation,,"Policy Jacket, Coverage Forms","Quote, New Business, Endorsement, Renewal",No,Section 9.7.5,Garaging Validation Requirements,APPROVED,2026-08-19,Product Owner
VEH-VAL-010,Vehicle Requirements,Validation,Vehicle,Personal Auto,All,Garaging State is required,GaragingState,Required Field Validation; Lookup Validation,Garaging State Validation,Territory Determination,,"Policy Jacket, Coverage Forms","Quote, New Business, Endorsement, Renewal",No,Section 9.7.5,Garaging Validation Requirements,APPROVED,2026-08-19,Product Owner
COV-VAL-001,Coverage Requirements,Validation,Coverage,Personal Auto,All,Coverage must be available for the selected product,CoverageCode,Coverage Availability Validation,Product Coverage Eligibility,Coverage Selection Validation,,Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 10.7.3,Coverage Validation Requirements,APPROVED,2026-08-19,Product Owner
COV-VAL-002,Coverage Requirements,Validation,Coverage,Personal Auto,All,Coverage limit must be selected when required,LimitAmount,Coverage Limit Selection Validation,Coverage Limit Requirement,Limit Availability Validation,,Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 10.7.3,Coverage Validation Requirements,APPROVED,2026-08-19,Product Owner
COV-VAL-003,Coverage Requirements,Validation,Coverage,Personal Auto,All,Deductible selection required when applicable,DeductibleAmount,Coverage Deductible Selection Validation,Coverage Deductible Requirement,Deductible Availability Validation,,Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 10.7.3,Coverage Validation Requirements,APPROVED,2026-08-19,Product Owner
COV-VAL-004,Coverage Requirements,Validation,Coverage,Personal Auto,All,Coverage dependency requirements must be satisfied,CoverageCode,Coverage Dependency Validation,Coverage Prerequisite Validation,Coverage Relationship Compliance,,Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 10.7.3,Coverage Validation Requirements,APPROVED,2026-08-19,Product Owner
LIM-VAL-001,Limits & Deductibles,Validation,Coverage,Personal Auto,All,Selected limit must be available for the coverage,LimitAmount,Limit Availability Validation,Coverage Limit Eligibility,Limit Selection Authorization,,Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 11.7.2,Limit Validation Requirements,APPROVED,2026-08-19,Product Owner
LIM-VAL-002,Limits & Deductibles,Validation,Coverage,Personal Auto,All,Selected limit must meet minimum limit requirements,LimitAmount,Minimum Limit Validation,Minimum Limit Compliance,Limit Authority Validation,,Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 11.7.2,Limit Validation Requirements,APPROVED,2026-08-19,Product Owner
LIM-VAL-003,Limits & Deductibles,Validation,Coverage,Personal Auto,All,Selected limit must not exceed maximum limit requirements,LimitAmount,Maximum Limit Validation,Maximum Limit Compliance,Underwriting Authority Validation,,Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 11.7.2,Limit Validation Requirements,APPROVED,2026-08-19,Product Owner
LIM-VAL-004,Limits & Deductibles,Validation,Coverage,Personal Auto,All,State-required limits must be satisfied,LimitAmount,State-Required Limit Validation,State Limit Compliance,State Regulatory Validation,,"Coverage Forms, State Notices","Quote, New Business, Endorsement, Renewal",Varies by State,Section 11.7.2,Limit Validation Requirements,APPROVED,2026-08-19,Product Owner
DED-VAL-001,Limits & Deductibles,Validation,Coverage,Personal Auto,All,Selected deductible must be available for the coverage,DeductibleAmount,Deductible Availability Validation,Coverage Deductible Eligibility,Deductible Selection Authorization,,Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 11.7.3,Deductible Validation Requirements,APPROVED,2026-08-19,Product Owner
DED-VAL-002,Limits & Deductibles,Validation,Coverage,Personal Auto,All,Required deductible selection must be provided,DeductibleAmount,Required Deductible Validation,Mandatory Deductible Compliance,Deductible Presence Validation,,Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 11.7.3,Deductible Validation Requirements,APPROVED,2026-08-19,Product Owner
DED-VAL-003,Limits & Deductibles,Validation,Coverage,Personal Auto,All,Deductible dependencies must be satisfied,DeductibleAmount,Deductible Dependency Validation,Deductible Prerequisite Validation,Deductible Relationship Compliance,,Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 11.7.3,Deductible Validation Requirements,APPROVED,2026-08-19,Product Owner
DED-VAL-004,Limits & Deductibles,Validation,Coverage,Personal Auto,All,State-required deductibles must be satisfied,DeductibleAmount,State-Required Deductible Validation,State Deductible Compliance,State Regulatory Validation,,"Coverage Forms, State Notices","Quote, New Business, Endorsement, Renewal",Varies by State,Section 11.7.3,Deductible Validation Requirements,APPROVED,2026-08-19,Product Owner
DSC-VAL-001,Discounts & Surcharges,Validation,Coverage,Personal Auto,All,Discount must be available for the selected product,DiscountCode,Discount Availability Validation,Product Discount Eligibility,Discount Authorization Validation,,Policy Jacket; Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 12.8.2,Discount Validation Requirements,APPROVED,2026-08-19,Product Owner
DSC-VAL-002,Discounts & Surcharges,Validation,Coverage,Personal Auto,All,Discount eligibility requirements must be satisfied,DiscountCode,Discount Eligibility Validation,Discount Qualification Compliance,Discount Assignment Validation,,Policy Jacket; Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 12.8.2,Discount Validation Requirements,APPROVED,2026-08-19,Product Owner
DSC-VAL-003,Discounts & Surcharges,Validation,Coverage,Personal Auto,All,Discount dependencies must be satisfied,DiscountCode,Discount Dependency Validation,Discount Prerequisite Validation,Discount Relationship Compliance,,Policy Jacket; Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 12.8.2,Discount Validation Requirements,APPROVED,2026-08-19,Product Owner
DSC-VAL-004,Discounts & Surcharges,Validation,Coverage,Personal Auto,All,Discount availability must satisfy state requirements,DiscountCode,State Discount Availability Validation,State Discount Compliance,State Regulatory Validation,,"Policy Jacket, Coverage Forms, State Notices","Quote, New Business, Endorsement, Renewal",Varies by State,Section 12.8.2,Discount Validation Requirements,APPROVED,2026-08-19,Product Owner
SUR-VAL-001,Discounts & Surcharges,Validation,Coverage,Personal Auto,All,Surcharge eligibility requirements must be satisfied,SurchargeCode,Surcharge Eligibility Validation,Surcharge Qualification Compliance,Surcharge Assignment Validation,,Policy Jacket; Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 12.8.3,Surcharge Validation Requirements,APPROVED,2026-08-19,Product Owner
SUR-VAL-002,Discounts & Surcharges,Validation,Coverage,Personal Auto,All,Surcharge applicability requirements must be satisfied,SurchargeCode,Surcharge Applicability Validation,Surcharge Condition Compliance,Surcharge Trigger Validation,,Policy Jacket; Coverage Forms,"Quote, New Business, Endorsement, Renewal",No,Section 12.8.3,Surcharge Validation Requirements,APPROVED,2026-08-19,Product Owner
SUR-VAL-003,Discounts & Surcharges,Validation,Coverage,Personal Auto,All,State-specific surcharge requirements must be satisfied,SurchargeCode,State Surcharge Validation,State Surcharge Compliance,State Regulatory Validation,,"Policy Jacket, Coverage Forms, State Notices","Quote, New Business, Endorsement, Renewal",Varies by State,Section 12.8.3,Surcharge Validation Requirements,APPROVED,2026-08-19,Product Owner
TXN-QUOTE-001,Transactions,Business Function,Policy,Personal Auto,All,Quote transaction shall create a prospective policy for evaluation,Quote,Transaction Completeness Validation,Quote Eligibility Evaluation,Quote Processing Authorization,,Policy Jacket; Coverage Forms,Quote,No,Section 19.2,Quote Transaction Requirements,APPROVED,2026-08-19,Product Owner
TXN-QUOTE-002,Transactions,Business Function,Policy,Personal Auto,All,Quote shall support policy information capture,PolicyInformation,Data Completeness Validation,Policy Information Validation,Policy Structure Compliance,,Policy Jacket; Coverage Forms,Quote,No,Section 19.2,Quote Transaction Requirements,APPROVED,2026-08-19,Product Owner
TXN-QUOTE-003,Transactions,Business Function,Policy,Personal Auto,All,Quote shall support risk evaluation,PolicyInformation; RiskInformation,Validation Processing,Risk Evaluation Eligibility,Risk Acceptability Assessment,,Policy Jacket; Coverage Forms,Quote,No,Section 19.2,Quote Transaction Requirements,APPROVED,2026-08-19,Product Owner
TXN-NB-001,Transactions,Business Function,Policy,Personal Auto,All,New Business transaction shall create a new insurance policy,NewBusinessTransaction,Transaction Completeness Validation,New Business Eligibility,New Policy Creation Authorization,,Policy Jacket; Coverage Forms; Endorsements,New Business,No,Section 19.4,New Business Transaction Requirements,APPROVED,2026-08-19,Product Owner
TXN-NB-002,Transactions,Business Function,Policy,Personal Auto,All,New Business shall support coverage creation,CoverageInformation,Coverage Completeness Validation,Coverage Availability Evaluation,Coverage Selection Validation,,Policy Jacket; Coverage Forms,New Business,No,Section 19.4,New Business Transaction Requirements,APPROVED,2026-08-19,Product Owner
TXN-NB-003,Transactions,Business Function,Policy,Personal Auto,All,New Business shall support risk creation,RiskInformation,Risk Completeness Validation,Risk Information Eligibility,Risk Structure Compliance,,Policy Jacket; Coverage Forms,New Business,No,Section 19.4,New Business Transaction Requirements,APPROVED,2026-08-19,Product Owner
TXN-BIND-001,Transactions,Business Function,Policy,Personal Auto,All,Bind transaction shall record carrier commitment to provide coverage,BindTransaction,Transaction Completeness Validation,Bind Eligibility,Coverage Commitment Authorization,,Policy Jacket; Coverage Forms,Bind,No,Section 19.5,Bind Transaction Requirements,APPROVED,2026-08-19,Product Owner
TXN-BIND-002,Transactions,Business Function,Policy,Personal Auto,All,Bind shall lock transaction information for commitment recording,PolicyInformation; RiskInformation; CoverageInformation,Transaction Lock Validation,Bind Completeness Validation,Transaction Immutability Enforcement,,Policy Jacket; Coverage Forms,Bind,No,Section 19.5,Bind Transaction Requirements,APPROVED,2026-08-19,Product Owner
TXN-ISS-001,Transactions,Business Function,Policy,Personal Auto,All,Issue transaction shall create the final policy record for an approved policy,IssueTransaction,Transaction Completeness Validation,Issue Eligibility,Policy Issuance Authorization,,Policy Jacket; Coverage Forms; Policy Notices,Issue,No,Section 19.6,Issue Transaction Requirements,APPROVED,2026-08-19,Product Owner
TXN-ISS-002,Transactions,Business Function,Policy,Personal Auto,All,Issue shall generate policy version and activate policy,PolicyVersion,Policy Version Generation Validation,Policy Activation Eligibility,Policy Lifecycle Progression,,Policy Jacket; Coverage Forms,Issue,No,Section 19.6,Issue Transaction Requirements,APPROVED,2026-08-19,Product Owner
TXN-END-001,Transactions,Business Function,Policy,Personal Auto,All,Endorsement transaction shall modify coverages or risks during active policy term,EndorsementTransaction,Transaction Completeness Validation,Endorsement Eligibility,Endorsement Processing Authorization,,Policy Jacket; Coverage Forms; Endorsements,Endorsement,No,Section 19.8,Endorsement Transaction Requirements,APPROVED,2026-08-19,Product Owner
TXN-END-002,Transactions,Business Function,Policy,Personal Auto,All,Endorsement shall support coverage changes,CoverageInformation,Coverage Change Validation,Coverage Modification Eligibility,Coverage Update Validation,,Coverage Forms; Endorsements,Endorsement,No,Section 19.8,Endorsement Transaction Requirements,APPROVED,2026-08-19,Product Owner
TXN-END-003,Transactions,Business Function,Policy,Personal Auto,All,Endorsement shall support driver changes,DriverInformation,Driver Change Validation,Driver Modification Eligibility,Driver Update Validation,,Coverage Forms; Endorsements,Endorsement,No,Section 19.8,Endorsement Transaction Requirements,APPROVED,2026-08-19,Product Owner
TXN-END-004,Transactions,Business Function,Policy,Personal Auto,All,Endorsement shall support vehicle changes,VehicleInformation,Vehicle Change Validation,Vehicle Modification Eligibility,Vehicle Update Validation,,Coverage Forms; Endorsements,Endorsement,No,Section 19.8,Endorsement Transaction Requirements,APPROVED,2026-08-19,Product Owner
TXN-REN-001,Transactions,Business Function,Policy,Personal Auto,All,Renewal transaction shall continue policy coverage into a new term,RenewalTransaction,Transaction Completeness Validation,Renewal Eligibility,Renewal Processing Authorization,,Policy Jacket; Coverage Forms; Renewal Notices,Renewal,No,Section 19.9,Renewal Transaction Requirements,APPROVED,2026-08-19,Product Owner
TXN-REN-002,Transactions,Business Function,Policy,Personal Auto,All,Renewal shall support eligibility evaluation,PolicyInformation; RiskInformation; CoverageInformation,Renewal Eligibility Validation,Renewal Qualification,Renewal Authorization Determination,,Policy Jacket; Coverage Forms; Renewal Notices,Renewal,No,Section 19.9,Renewal Transaction Requirements,APPROVED,2026-08-19,Product Owner
